room,day,time,description
Room A,Tuesday,03:48 PM,"Awards"
Room A,Tuesday,10:28 PM,"Awards"
Room A,Wednesday,02:42 PM,"Awards"
Room A,Wednesday,06:09 PM,"Awards"
Room A,Wednesday,09:57 PM,"Awards"
Room A,Thursday,11:40 AM,"Awards"
Room A,Thursday,03:31 PM,"Awards"
Room A,Thursday,08:31 PM,"Awards"
Room A,Friday,01:07 PM,"Awards"
Room A,Friday,05:51 PM,"Awards"
Room A,Friday,09:37 PM,"Awards"
Room A,Saturday,01:44 PM,"Awards"
Room A,Saturday,07:51 PM,"Awards"
Room A,Sunday,12:00 PM,"Awards"
Room B,Tuesday,05:36 PM,"Awards"
Room B,Tuesday,09:52 PM,"Awards"
Room B,Wednesday,12:55 PM,"Awards"
Room B,Wednesday,04:50 PM,"Awards"
Room B,Wednesday,08:46 PM,"Awards"
Room B,Thursday,02:36 PM,"Awards"
Room B,Thursday,08:08 PM,"Awards"
Room B,Friday,12:06 PM,"Awards"
Room B,Friday,04:38 PM,"Awards"
Room B,Friday,08:24 PM,"Awards"
Room B,Saturday,01:37 PM,"Awards"
Room C,Thursday,01:06 PM,"Awards"
Room C,Thursday,03:12 PM,"Awards"
Room C,Thursday,09:06 PM,"Awards"
Room C,Friday,02:08 PM,"Awards"
Room C,Friday,06:11 PM,"Awards"
Room C,Saturday,12:00 PM,"Awards"
Room C,Saturday,03:57 PM,"Awards"
