"A                Tue      03:48 PM                                                                                                                     --Awards - No High
Point--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,,,,
"A                Tue      10:28 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,
A               Wed     10:38 AM                                                                                                                     --Judges Break--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A               Wed     02:42 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,
"A               Wed     06:09 PM                                                                                                                     --Awards - High Points--   Awards
A               Wed     09:57 PM                                                                                                                     --Awards - High Point--     Awards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A                Thu      11:40 AM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,
"A                Thu      03:31 PM                                                                                                                     --Awards - High Point--     Awards
A                Thu      08:31 PM                                                                                                                     --Awards - High Point--     Awards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,Fri,,,,10:45 AM,,,,,,,,,,,,,,,,Judges Break,,,,,,,,,,,,,,,
A                 Fri       01:07 PM                                                                                                                     --Awards - High Point--     Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A                 Fri       05:51 PM                                                                                                                     --Awards - High Point--     Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A                 Fri       09:37 PM                                                                                                                     --Awards - High Point--     Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A                Sat      11:46 AM                                                                                                                     --Judges Break--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A                Sat      01:44 PM                                                                                                                     --Awards - High Point--     Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A                Sat      03:56 PM                                                                                                                     --Judges Break--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A                Sat      07:51 PM                                                                                                                     --Awards - High Point--     Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A                Sun      08:00 AM                                                                                                                     --Grand National - Rising
Starz - Solo & D/T All Ages--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,Sun,,,,10:00 AM,,,,,,,,,,,,,,,,--Grand National - Starz Level - Solo & D/T - All Ages--,,,,,,,,,,,,,,,
Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A                Sun      12:00 PM                                                                                                                     --Awards - Grand
Nationals Solo & D/T - RS & Starz - All Ages--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,
"A                Sun      12:45 PM                                                                                                                     --Grand National -
Standout Dancer Routine--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A                Sun      01:00 PM                                                                                                                     --Grand National - Rising
Starz Groups - All Ages--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A                Sun      03:00 PM                                                                                                                     --Grand National - Starz
Level Groups - All Ages--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A                Sun      05:00 PM                                                                                                                     --Grand National -
Productions - All Levels & Ages--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A                Sun      06:20 PM                                                                                                                     --Grand National - Final
Awards --",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B                Tue      05:36 PM                                                                                                                     --Awards - No High Point  Awards
- Carry Over--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B                Tue      09:52 PM                                                                                                                     --Awards - No High Point  Awards
- Carry Over--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B               Wed     12:55 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,,
"B               Wed     04:50 PM                                                                                                                     --Awards- High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,,
"B               Wed     08:46 PM                                                                                                                     --Awards - High Point--     Awards
B                Thu      11:31 AM                                                                                                                     Judges Break",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B                Thu      02:36 PM                                                                                                                     --Awards - No High
Point--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,,,,
B                Thu      05:52 PM                                                                                                                     --Judges Break--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B                Thu      08:08 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,,
"B                 Fri       12:06 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,,
B,,,,Fri,,,,04:38 PM,,,,,,,,,,,,,,,,--Awards - High Point--,,,,,,,,,Awards,,,,,,
